73 		 71 		    234142   0.968373
74 		 76 		    234218   0.968688
75 		 82 		    234300   0.969027
76 		 83 		    234383   0.96937
77 		 86 		    234469   0.969726
78 		 77 		    234546   0.970044
79 		 71 		    234617   0.970338
80 		 91 		    234708   0.970714
81 		 97 		    234805   0.971115
82 		 78 		    234883   0.971438
83 		 64 		    234947   0.971703
84 		 87 		    235034   0.972062
85 		 61 		    235095   0.972315
86 		 70 		    235165   0.972604
87 		 67 		    235232   0.972881
88 		 60 		    235292   0.973129
89 		 72 		    235364   0.973427
90 		 53 		    235417   0.973646
91 		 76 		    235493   0.973961
92 		 56 		    235549   0.974192
93 		 56 		    235605   0.974424
94 		 73 		    235678   0.974726
95 		 49 		    235727   0.974929
96 		 52 		    235779   0.975144
97 		 48 		    235827   0.975342
98 		 42 		    235869   0.975516
99 		 54 		    235923   0.975739
100 		 45 		    235968   0.975925
101 		 36 		    236004   0.976074
102 		 46 		    236050   0.976264
103 		 45 		    236095   0.976451
104 		 91 		    236186   0.976827
105 		 49 		    236235   0.97703
106 		 42 		    236277   0.977203
107 		 148 		    236425   0.977815
108 		 46 		    236471   0.978006
109 		 51 		    236522   0.978217
110 		 35 		    236557   0.978361
111 		 37 		    236594   0.978514
112 		 39 		    236633   0.978676
113 		 31 		    236664   0.978804
114 		 23 		    236687   0.978899
115 		 29 		    236716   0.979019
116 		 46 		    236762   0.979209
117 		 36 		    236798   0.979358
118 		 39 		    236837   0.979519
119 		 45 		    236882   0.979705
120 		 35 		    236917   0.97985
121 		 37 		    236954   0.980003
122 		 31 		    236985   0.980131
123 		 44 		    237029   0.980313
124 		 27 		    237056   0.980425
125 		 59 		    237115   0.980669
126 		 41 		    237156   0.980839
127 		 160 		    237316   0.9815
128 		 54 		    237370   0.981724
129 		 38 		    237408   0.981881
130 		 37 		    237445   0.982034
131 		 29 		    237474   0.982154
132 		 30 		    237504   0.982278
133 		 30 		    237534   0.982402
134 		 35 		    237569   0.982547
135 		 46 		    237615   0.982737
136 		 31 		    237646   0.982865
137 		 29 		    237675   0.982985
138 		 24 		    237699   0.983084
139 		 17 		    237716   0.983155
140 		 35 		    237751   0.983299
141 		 21 		    237772   0.983386
142 		 26 		    237798   0.983494
143 		 31 		    237829   0.983622
144 		 26 		    237855   0.98373
145 		 25 		    237880   0.983833
146 		 26 		    237906   0.983941
147 		 26 		    237932   0.984048
148 		 20 		    237952   0.984131
149 		 22 		    237974   0.984222
150 		 28 		    238002   0.984338
151 		 22 		    238024   0.984429
152 		 25 		    238049   0.984532
153 		 26 		    238075   0.984639
154 		 29 		    238104   0.984759
155 		 47 		    238151   0.984954
156 		 34 		    238185   0.985094
157 		 17 		    238202   0.985165
158 		 19 		    238221   0.985243
159 		 15 		    238236   0.985305
160 		 25 		    238261   0.985409
161 		 14 		    238275   0.985467
162 		 22 		    238297   0.985558
163 		 13 		    238310   0.985611
164 		 28 		    238338   0.985727
165 		 16 		    238354   0.985793
166 		 17 		    238371   0.985864
167 		 17 		    238388   0.985934
168 		 24 		    238412   0.986033
169 		 10 		    238422   0.986075
